TissueType	Genotype	IsHybrid	IsChk	LibBatch	ttlQCReads	percMapped	ttlQCReads.rsem	ttlMapped.rsem	percMapped.rsem	lastdaymm2	sizeclass
run125_SigHeterosis_Batch1_S7_merge_R1	S	p9699	Inbred	0	a	6609355	88.9492998938626	5451000	4720620	86.6009906439185	92.0521875	4
run125_SigHeterosis_Batch1_S8_merge_R1	S	c24	Inbred	1	a	6278443	89.7028610437333	5185663	4539163	87.5329345543665	166.72906	5
run125_SigHeterosis_Batch1_S9_merge_R1	S	rd208	Hybrid	0	a	5331020	89.8989686776639	4344824	3806336	87.6062183416405	97.99359375	4
run125_SigHeterosis_Batch1_S11_merge_R1	S	p7165	Inbred	0	a	5305752	90.9311630095036	4287818	3806648	88.778208403435	70.6103125	3
run125_SigHeterosis_Batch1_S12_merge_R1	S	p9793	Inbred	0	a	5825317	91.2364254168486	4695625	4185119	89.1280500465859	100.449375	4
run125_SigHeterosis_Batch1_S14_merge_R1	S	p7396	Inbred	0	a	5490780	90.7788875168919	4535711	4029400	88.8372297088593	93.055625	4
run125_SigHeterosis_Batch1_S16_merge_R1	S	p9811	Inbred	0	a	5463364	90.1926358924648	4494079	3958267	88.0773791470955	170.9540625	5
run125_SigHeterosis_Batch1_S18_merge_R1	S	p10018	Inbred	0	a	7723975	90.5225612459906	6212031	5479996	88.21585082238	55.74359375	2
run125_SigHeterosis_Batch1_S19_merge_R1	S	p6243	Inbred	0	a	5923808	89.963010279874	4853518	4258946	87.7496694150511	60.734375	2
run125_SigHeterosis_Batch1_S22_merge_R1	S	p1066	Inbred	0	a	6654148	90.1348752687797	5400661	4744221	87.8451915422945	14.470625	1
run125_SigHeterosis_Batch1_S24_merge_R1	S	p6445	Inbred	0	a	6108586	90.3538887722952	5065669	4476428	88.3679529791623	111.0646875	4
run125_SigHeterosis_Batch1_S27_merge_R1	S	p6023	Inbred	0	a	7996033	91.6096394299523	6408867	5737971	89.5317534284921	19.88390625	1
run125_SigHeterosis_Batch1_S29_merge_R1	S	rd218	Hybrid	0	a	8111693	92.3682516091277	6423824	5804760	90.3629987372008	169.739375	5
run125_SigHeterosis_Batch1_S30_merge_R1	S	p7199	Inbred	0	a	7998632	91.1592382297373	6464967	5757827	89.0619704632676	149.459375	5
run125_SigHeterosis_Batch1_S31_merge_R1	S	p9748	Inbred	0	a	5739813	91.6167303708326	4684263	4203079	89.7276476576998	105.96828125	4
run125_SigHeterosis_Batch1_S32_merge_R1	S	rd485	Hybrid	0	a	6613887	90.5707339723222	5431538	4807897	88.5181508441992	177.21234375	5
run125_SigHeterosis_Batch1_S34_merge_R1	S	rd231	Hybrid	0	a	6914624	92.0460172527096	5538756	4988768	90.0701890460602	90.5734375	4
run125_SigHeterosis_Batch1_S35_merge_R1	S	p88	Inbred	0	a	7722648	91.7364872774209	6210912	5572750	89.7251482551999	133.58921875	4
run125_SigHeterosis_Batch1_S37_merge_R1	S	p9775	Inbred	0	a	7965581	90.9513442898892	6430291	5709513	88.7908960885285	49.4325	2
run125_SigHeterosis_Batch1_S42_merge_R1	S	p8376	Inbred	0	a	7702347	87.9518671386786	6275416	5347427	85.2123110244803	37.919375	2
run125_SigHeterosis_Batch1_S43_merge_R1	S	p6975	Inbred	0	a	7924936	91.2360554078923	6413813	5719276	89.1712309042998	92.73875	4
run125_SigHeterosis_Batch1_S44_merge_R1	S	p6918	Inbred	0	a	7429951	91.1087300575737	5919218	5258601	88.8394548063612	83.73421875	3
run125_SigHeterosis_Batch1_S48_merge_R1	S	p6922	Inbred	0	a	6144189	90.9183946001661	5037904	4479913	88.9241438502996	78.98109375	3
run125_SigHeterosis_Batch1_S54_merge_R1	S	rd078	Hybrid	0	a	6566892	90.2112445278528	5539786	4896969	88.39635682678	56.06046875	2
run125_SigHeterosis_Batch1_S56_merge_R1	S	rd106	Hybrid	0	a	7714530	90.232885217894	6239745	5486258	87.9243943462433	62.02828125	3
run125_SigHeterosis_Batch1_S57_merge_R1	S	p7231	Inbred	0	a	6693706	91.7854324644674	5575049	5025190	90.137144982941	118.1415625	4
run125_SigHeterosis_Batch1_S58_merge_R1	S	rd077	Hybrid	0	a	7813495	90.6903376785933	6254470	5527060	88.3697579491148	42.144375	2
run125_SigHeterosis_Batch1_S59_merge_R1	S	rd428	Hybrid	0	a	7905988	90.7656196796656	6569816	5839747	88.887527443691	207.7115625	6
run125_SigHeterosis_Batch1_S62_merge_R1	S	p7177	Inbred	0	a	6916708	90.4103368249751	5781330	5118041	88.5270517337706	36.30859375	2
run125_SigHeterosis_Batch1_S66_merge_R1	S	p772	Inbred	0	a	6938291	91.4690519610665	5541397	4949495	89.3185418767145	47.45203125	2
run125_SigHeterosis_Batch1_S70_merge_R1	S	p7413	Inbred	0	a	7103484	90.815126774411	5848810	5196364	88.844807747217	73.198125	3
run125_SigHeterosis_Batch1_S73_merge_R1	S	rd431	Hybrid	0	a	6105666	91.5702725959789	5087305	4572614	89.8828358040259	156.1665625	5
run125_SigHeterosis_Batch1_S74_merge_R1	S	rd466	Hybrid	0	a	6546351	91.4210527360968	5357420	4795812	89.5171929772167	58.64828125	2
run125_SigHeterosis_Batch1_S84_merge_R1	S	p9130	Inbred	0	a	6473944	90.4813819829149	5290397	4674167	88.3519138544801	46.9503125	2
run125_SigHeterosis_Batch1_S86_merge_R1	S	rd226	Hybrid	0	a	7482940	90.7624008745226	6188221	5496977	88.8296814221729	76.18203125	3
run125_SigHeterosis_Batch1_S88_merge_R1	S	p7373	Inbred	0	a	6548264	90.1115318502736	5299819	4652296	87.7821676551595	25.878125	1
run125_SigHeterosis_Batch1_S90_merge_R1	S	p9391	Inbred	0	a	6336418	90.4196345632501	5163163	4556111	88.2426334400057	56.69422	2
run125_SigHeterosis_Batch1_S92_merge_R1	S	rd119	Hybrid	0	a	7293129	90.5708235792895	5932318	5244636	88.4078702456611	62.74125	3
run125_SigHeterosis_Batch1_S94_merge_R1	S	p7520	Inbred	0	a	6367905	90.3919892021002	5191146	4579317	88.2139897433052	71.58734375	3
run125_SigHeterosis_Batch1_S97_merge_R1	S	rd116	Hybrid	0	b	12746317	88.5513046631431	10126210	8666923	85.5890110910202	84.394375	3
run125_SigHeterosis_Batch1_S98_merge_R1	S	rd060	Hybrid	0	b	6558436	88.6631965303923	5365045	4621528	86.1414582729502	91.97296875	4
run125_SigHeterosis_Batch1_S102_merge_R1	S	p9704	Inbred	0	b	8034509	89.8131671767373	6505495	5687033	87.418912780657	51.9675	2
run125_SigHeterosis_Batch1_S103_merge_R1	S	p8357	Inbred	0	b	6024395	88.9868775204813	4822558	4159084	86.2422805490364	51.78265625	2
run125_SigHeterosis_Batch1_S104_merge_R1	S	rd132	Hybrid	0	b	6698544	89.2221802230455	5366822	4644865	86.5477744557207	181.358125	5
run125_SigHeterosis_Batch1_S105_merge_R1	S	p9591	Inbred	0	b	9477747	91.1304448198501	7432802	6592168	88.69021400005	64.82734375	3
run125_SigHeterosis_Batch1_S111_merge_R1	S	rd407	Hybrid	0	b	5895582	89.0454241837362	4734848	4089012	86.3599422832581	7.2353125	1
run125_SigHeterosis_Batch1_S114_merge_R1	S	rd095	Hybrid	0	b	8215871	88.0594765911003	6591949	5610931	85.1179370471465	143.67640625	5
run125_SigHeterosis_Batch1_S115_merge_R1	S	rd181	Hybrid	0	b	8275601	90.1553856934379	6700330	5885629	87.840882463998	89.06828125	3
run125_SigHeterosis_Batch1_S117_merge_R1	S	p5726	Inbred	0	b	9309782	90.414652029446	7350462	6458087	87.8596066478542	182.625625	5
run125_SigHeterosis_Batch1_S121_merge_R1	S	p5907	Inbred	0	b	8495423	89.7631465790462	6874914	6005250	87.3501835804782	84.9225	3
run125_SigHeterosis_Batch1_S125_merge_R1	S	p7058	Inbred	0	b	7979247	89.9744549830329	6480295	5680332	87.6554539569572	77.44953125	3
run125_SigHeterosis_Batch1_S126_merge_R1	S	rd307	Hybrid	0	b	5277725	90.8407505127683	4265909	3782509	88.6683002380032	51.228125	2
run125_SigHeterosis_Batch1_S128_merge_R1	S	rd345	Hybrid	0	b	6651272	89.2319995333224	5428810	4712601	86.807256102166	167.91734375	5
run125_SigHeterosis_Batch1_S129_merge_R1	S	p9698	Inbred	0	b	6790589	90.7701084545096	5492129	4865365	88.587959241307	62.31875	3
run125_SigHeterosis_Batch1_S130_merge_R1	S	rd493	Hybrid	0	b	7078472	89.0631904738763	5842592	5068433	86.7497336798462	230.579375	6
