Genotype	Trio	IsHybrid	Treatment	Replicate	Tray	Potpos	PlantBatch	LibBatch	ttlReads	ttlMapped	percMapped	Day13mpp
S1	p8247	3F	Inbred	BTH	R1	T3	3B5	A	a	5514794	4838898	0.87743948368697	44.75859375
S2	p7058	3M	Inbred	BTH	R1	T3	3F5	A	a	5512596	4773285	0.865886961424345	47.3728125
S3	rd208	22H	Hybrid	BTH	R1	T3	3C7	A	a	6899720	6014098	0.871643776848916	107.28859375
S4	rd244	35H	Hybrid	BTH	R1	T3	3F6	A	a	2402273	2127660	0.885686181379052	113.2828125
S5	p9130	23F	Inbred	BTH	R1	T3	3D3	A	a	4289475	3858017	0.89941473024088	102.6146875
S6	rd193	24H	Hybrid	BTH	R1	T3	3E8	A	a	2670974	2381636	0.891673224823604	83.99828125
S7	p9521	2F	Inbred	BTH	R1	T3	3F2	A	a	2788323	2358055	0.845689326523505	48.1121875
S8	rd161	3H	Hybrid	BTH	R1	T3	3D5	A	a	4396568	3887533	0.884219918809399	44.15125
S9	p8376	23M	Inbred	BTH	R1	T3	3A3	A	a	3576089	3142133	0.878650671166182	50.91125
S10	p7276	24M	Inbred	BTH	R1	T3	3C8	A	a	4744140	4013825	0.846059559793767	9.5590625
S11	p159	9F	Inbred	BTH	R1	T3	3D4	A	a	3368527	2565479	0.761602623342488	52.46921875
S12	rd187	40H	Hybrid	BTH	R1	T3	3D9	A	a	3376891	2969452	0.879344935918867	36.8103125
S13	rd199	9H	Hybrid	BTH	R1	T3	3E4	A	a	3867878	3518749	0.909736294681477	58.09375
S14	p5907	34F	Inbred	BTH	R1	T3	3E10	A	a	3230494	2843187	0.880109048337499	55.77
S15	rd485	23H	Hybrid	BTH	R1	T3	3F3	A	a	4441637	4059201	0.913897511210394	111.1175
S16	p7207	35M	Inbred	BTH	R1	T3	3D6	A	a	3739085	3267445	0.873862188209147	77.3703125
S17	rd205	34H	Hybrid	BTH	R1	T3	3C10	A	a	4130143	3520396	0.852366612971996	71.00640625
S18	p9565	35F	Inbred	BTH	R1	T3	3A6	A	a	4785464	4156065	0.868476912583607	33.6415625
S19	p5874	22F	Inbred	BTH	R1	T3	3E7	A	a	4402041	3925567	0.891760662837988	76.71015625
S21	p5893	5F	Inbred	BTH	R1	T3	3E1	A	a	4531579	4098103	0.90434327637232	104.11984375
S22	p7202	40M	Inbred	BTH	R1	T3	3B9	A	a	4490263	4026787	0.896781992502444	58.51625
S23	p6918	5M	Inbred	BTH	R1	T3	3D1	A	a	4686909	3899621	0.832024048258671	34.5921875
S25	rd193	24H	Hybrid	Mock	R1	T5	5D2	A	a	3122057	2833089	0.907443073588983	139.34578125
S26	rd241	18H	Hybrid	Mock	R1	T5	5E1	A	a	3265356	2894603	0.886458628094456	152.60171875
S27	p6958	2M	Inbred	BTH	R1	T3	3A2	A	a	5183995	4689953	0.904698596352813	103.6709375
S28	rd132	2H	Hybrid	BTH	R1	T3	3C2	A	a	2846572	2544429	0.893857243027754	90.96953125
S29	p5644	24F	Inbred	BTH	R1	T3	3B8	A	a	4354759	3916042	0.899255733784579	43.200625
S30	p7177	34M	Inbred	BTH	R1	T3	3A10	A	a	4038125	3621060	0.896718155084352	87.035
S31	p6975	9M	Inbred	BTH	R1	T3	3A4	A	a	4921989	4412020	0.896389650606696	97.914375
S32	rd207	5H	Hybrid	BTH	R1	T3	3A1	A	a	3741462	3300471	0.882134042788621	85.13375
S33	p6958	2M	Inbred	Mock	R1	T5	5B7	A	a	6780833	6219156	0.917166961640259	226.354375
S34	p9560	10M	Inbred	Mock	R1	T5	5E10	A	a	4722973	4306198	0.91175579449639	144.20453125
S35	p5893	5F	Inbred	Mock	R1	T5	5C5	A	a	5428104	4934025	0.908977609861565	177.3971875
S36	rd187	40H	Hybrid	Mock	R1	T5	5A6	A	a	5109197	4685951	0.917159976411166	64.43125
S37	rd196	8H	Hybrid	Mock	R1	T5	5A9	A	a	4880270	4439498	0.909682865907009	137.206875
S38	p6188	8M	Inbred	Mock	R1	T5	5F9	A	a	4400192	4028449	0.915516641092025	68.94671875
S39	rd485	23H	Hybrid	Mock	R1	T5	5A3	A	a	4828377	4424279	0.916307695111629	152.945
S40	p9579	18F	Inbred	Mock	R1	T5	5D1	A	a	4388347	3990880	0.909426715799822	153.12984375
S41	p5644	24F	Inbred	Mock	R1	T5	5E2	A	a	4378456	3940356	0.899941897326363	43.2534375
S42	p6918	5M	Inbred	Mock	R1	T5	5A5	A	a	5071203	4519066	0.891123072769913	69.4484375
S43	p9565	35F	Inbred	Mock	R1	T5	5A8	A	a	4760222	4341412	0.912018809206797	99.9740625
S44	p7372	1F	Inbred	Mock	R1	T5	5F4	A	a	2658639	2399276	0.902445198464327	154.08046875
S45	rd206	10H	Hybrid	Mock	R1	T5	5B10	A	a	4141832	3756332	0.906925244674337	219.8584375
S46	p7276	24M	Inbred	Mock	R1	T5	5A2	A	a	5667776	5206580	0.918628400275523	123.97734375
S47	p9814	18M	Inbred	Mock	R1	T5	5B1	A	a	3996361	3648070	0.912847963434735	45.41875
S48	rd244	35H	Hybrid	Mock	R1	T5	5F8	A	a	4557600	4152635	0.911145120238722	147.47890625
S49	p9521	2F	Inbred	Mock	R1	T5	5F7	A	a	5261292	4768622	0.906359502570851	121.12546875
S50	p9130	23F	Inbred	Mock	R1	T5	5D3	A	a	5258597	4812828	0.915230431234795	135.939375
S51	p9928	40F	Inbred	Mock	R1	T5	5C6	A	a	5861984	5243800	0.894543553854804	106.02109375
S52	rd181	1H	Hybrid	Mock	R1	T5	5B4	A	a	4757368	4290743	0.901915302747233	189.06875
S53	p7202	40M	Inbred	Mock	R1	T5	5F6	A	a	3399660	2967300	0.872822576375285	115.94984375
S54	p8376	23M	Inbred	Mock	R1	T5	5E3	A	a	6220087	5492969	0.883101635073593	126.45953125
S55	p7207	35M	Inbred	Mock	R1	T5	5D8	A	a	3697767	3280692	0.887208956107835	96.9109375
S56	rd132	2H	Hybrid	Mock	R1	T5	5C7	A	a	4307566	3866173	0.897530763312739	118.64328125
S57	p5950	6M	Inbred	BTH	R1	T8	8A4	A	a	3301802	2937910	0.889789878375505	41.8275
S58	rd226	6H	Hybrid	BTH	R1	T8	8E4	A	a	4638257	4210014	0.907671567142571	128.67765625
S59	p7158	6F	Inbred	BTH	R1	T8	8C4	A	a	3684225	3301097	0.89600852282366	79.66765625
S60	p7111	14F	Inbred	BTH	R1	T8	8A5	A	a	6714342	6131013	0.913121941062877	19.03890625
S62	rd207	5H	Hybrid	Mock	R1	T5	5F5	A	a	4677909	4232781	0.904844664571286	210.5634375
S63	p6390	8F	Inbred	Mock	R1	T5	5C9	A	a	3686641	3294560	0.893648174584941	133.90609375
S64	p7320	1M	Inbred	Mock	R1	T5	5C4	A	a	4574345	4140581	0.905174620628746	78.61140625
S65	rd181	1H	Hybrid	BTH	R1	T8	8B3	A	a	4264530	3815408	0.894684291117661	70.37265625
S66	p6390	8F	Inbred	BTH	R1	T8	8D1	A	a	3334360	2926248	0.877604097937835	30.1559375
S67	rd085	21H	Hybrid	BTH	R1	T8	8E2	A	a	3335510	3019438	0.905240278098402	44.3096875
S68	p9914	32F	Inbred	BTH	R1	T8	8E10	A	a	3638233	3298894	0.906729722917691	93.58375
S69	p9559	38M	Inbred	BTH	R1	T8	8D7	A	a	3866794	3481437	0.900341988737957	90.1509375
S70	p6188	8M	Inbred	BTH	R1	T8	8A1	A	a	3716227	3141719	0.845405568604932	45.81484375
S71	rd206	10H	Hybrid	BTH	R1	T8	8E6	A	a	4799523	4366261	0.909728112564519	98.41609375
S72	p7319	21F	Inbred	BTH	R1	T8	8B2	A	a	3939601	3544419	0.899689841687013	36.73109375
S73	p9579	18F	Inbred	BTH	R1	T8	8C8	A	a	3364433	3062300	0.910197944200405	93.76859375
S74	p10011	27M	Inbred	BTH	R1	T8	8B9	A	a	4405662	3988364	0.90528143103125	63.9559375
S75	p9649	14M	Inbred	BTH	R1	T8	8E5	A	a	4000044	3600068	0.900007099921901	55.47953125
S76	p7320	1M	Inbred	BTH	R1	T8	8D3	A	a	2534497	2288340	0.902877375668624	41.088125
S77	rd241	18H	Hybrid	BTH	R1	T8	8F8	A	a	3783993	3373031	0.891394619387509	84.79046875
S78	p9640	32M	Inbred	BTH	R1	T8	8C10	A	a	5279167	4636967	0.878352020309265	27.75296875
S79	p9814	18M	Inbred	BTH	R1	T8	8B8	A	a	3950796	3521561	0.891354805461988	64.9065625
S80	rd196	8H	Hybrid	BTH	R1	T8	8E1	A	a	4255272	3795068	0.891850861707548	25.9309375
S81	p7372	1F	Inbred	BTH	R1	T8	8F3	A	a	5530782	4925471	0.890555982861013	72.3003125
S82	rd545	27H	Hybrid	BTH	R1	T8	8D9	A	a	4603221	4144285	0.900301115240828	89.06828125
S83	p7192	38F	Inbred	BTH	R1	T8	8F7	A	a	4068831	3672893	0.902689986386753	69.84453125
S84	rd337	32H	Hybrid	BTH	R1	T8	8A10	A	a	2703598	2400707	0.887967441905194	52.0203125
S85	rd385	14H	Hybrid	BTH	R1	T8	8C5	A	a	4585070	4185852	0.912930882189367	95.1153125
S86	p9560	10M	Inbred	BTH	R1	T8	8A6	A	a	4236696	3851481	0.909076553993961	55.77
S87	rd107	38H	Hybrid	BTH	R1	T8	8A7	A	a	3895068	3541628	0.909259607277716	112.35859375
